"Word","AoA","Concr","Freq","CD","Dom_Pos","OLD20","len","FpM.SUM","LNC.SUM","rLNC.SUM","LNC1.SUM","VC.SUM","J.SUM","rVC.SUM","rJ.SUM"
"abandon",8.32,2.54,413,312,"Verb",53,7,807.561786875598,12.845425501807,6.40847493397057,13.1627423052152,11.0594845414162,2.35863362801154,4.50301039218903,0.355718281762289
"abandonment",10.27,2.54,49,45,"Noun",84,11,74.7024255812982,11.8774029873661,5.9431362213818,12.6563917189137,8.05602087080479,0.931249429101947,4.42451997101307,0.102891156462585
"abdicate",12.6,2.08,9,9,"Verb",52,8,23.8565777779767,13.4476517614771,4.47163548392258,13.9103573713159,9.20794740319252,3.13296868883936,8.17579859495163,0.463879029872819
"abhor",13.76,1.81,12,12,"Verb",42,5,56.2492278555315,13.6057861514102,5.59776839356701,13.8804517599665,8.70225965976715,2.16446621323504,6.62146040797234,0.515041101799394
"abide",9.5,1.68,138,124,"Verb",34,5,187.84783263097,11.9512240806382,6.17874610274234,13.0216360328991,8.58842587471008,1.0884301893077,6.30918442457914,0.399253179532683
"ability",8.84,1.81,980,679,"Noun",45,7,891.778578235879,12.5420865327338,6.68791979780291,13.78401986056,10.8143697082996,2.43516716312147,5.41506110131741,0.781589565156368
"abject",14,1.67,20,20,"Adjective",44,6,56.1089639371993,14.00697816703,4.80548800023979,14.0587324766425,10.0661582648754,1.73353150540704,7.22024780511856,0.709594100303761
"able",7.79,2.38,8155,4285,"Adjective",27,4,2888.06359286769,13.9010043910116,5.23717989672212,14.1538689575317,11.0387079715729,4.97501261180658,5.85599671304226,1.10809440951836
"aboard",8.66217,3.97,1358,709,"Adverb",41,6,303.564550622973,13.0387293755259,5.36028882366404,14.3650104963618,11.9953082203865,2.86929334945316,9.08052051067352,0.907309407747365
"abode",12.06,3.92,33,31,"Noun",37,5,186.809840660048,12.0235774448661,5.87086596644973,12.6996230251094,9.25046187639236,1.97323310617479,4.63563107699156,0.357709750566894
"abolish",10.42,2.19,24,21,"Verb",55,7,175.453352987236,13.4917323487918,7.1514365016303,14.1958566068589,10.985377907753,1.81436311514322,6.24819876253605,0.97921109870563
"abolition",13.28,2.43,10,8,"Noun",55,9,110.714328956434,12.2431541026833,6.52019882140296,13.5454071206521,10.4049581885338,2.27542694138664,6.0656520575285,0.663399628065282
"abolitionist",12.6,3.28,11,7,"Noun",75,12,44.5571941829354,12.1787524044414,4.46022051333985,13.8064629949099,10.9662640690804,2.56718340641495,6.9448045194149,1.75481686317408
"abomination",11.17,2.23,58,47,"Noun",55,11,33.6809160728565,13.7704782641721,5.29129618273207,13.9694894218794,9.04005780816078,2.23033240550054,6.23200128227472,1.19948783815643
"aboriginal",14.75,3.12,9,9,"Adjective",68,10,37.6927110916067,11.8701887594082,5.27480849436604,14.0853844908187,10.8255988359451,1.84318550643106,6.467449426651,0.554468703916966
"abortion",13.21,3.41,369,155,"Noun",49,8,126.703539600691,7.84737146340771,2.24864539901924,8.71084200296723,4.84658604860306,0.593409074399446,2.66602569818497,0.379872871134269
"abound",11.65,2.27,18,16,"Verb",37,6,170.630099481519,13.2356327911425,4.71202726285164,13.2797971333411,10.1991046667099,1.70640275920164,5.29426822066307,0.123299319727891
"abreast",13.06,2.23,26,25,"Adjective",52,7,51.9917661759001,12.3718070323562,6.28766612258386,13.3563785653705,9.21548214554787,1.55759908829426,4.8834757655859,1.29122413128624
"abroad",10.15415,2.72,250,203,"Adverb",51,6,621.181382655217,11.5256633413985,5.47103731639374,13.3186846030157,10.0141460299492,3.33861751749921,4.01045686006546,0.609367238050996
"abrupt",10.95,2.27,58,56,"Adjective",54,6,120.718764417596,12.1106960250826,6.028448878704,12.5566310749851,10.152134180069,1.45275639746967,3.16897822142346,0.185374149659864
"absence",7.7,2.31,322,285,"Noun",54,7,658.838499041474,12.6996497652773,4.95576329483916,13.3550121051974,9.78546559810638,2.38421100377622,3.65113611333072,0.467200226318767
"absent",6.5,2.7,131,111,"Adjective",39,6,309.886296075877,10.4053955316403,3.86597133954537,11.2914487124969,7.00909854471684,1.38745245299562,1.87437188997865,0.164965986394558
"absentee",11,3.29,18,18,"Noun",55,8,25.0391303683438,10.1166566226637,4.18227784161455,11.5624840990571,7.09096950292587,0.925500449948712,2.17355693876743,0.217996289424861
"absolute",8.53,1.81,577,491,"Adjective",53,8,523.989907861246,12.9860724542198,6.98638861028739,13.646354378575,11.0556756854057,1.13794107893487,6.72288984060287,0.247503256621798
"absolutely",7.084934,1.97,5769,3291,"Adverb",73,10,651.299895577308,13.4463615866603,6.10174416767349,13.6527610641341,10.0378043353558,2.94883641899705,5.46658507734537,1.30475061168388
"absolution",11.71,1.78,48,43,"Noun",54,10,20.6448847274908,13.413169544212,5.9858741384922,14.2324277018056,10.6630912423134,3.68240843552065,8.05184000730515,1.30427282243922
"absolve",12.9,1.85,29,25,"Verb",51,7,33.9864669011706,13.6346190969793,6.64186515826393,13.9739780945641,8.9607615172863,1.49679678026411,6.9060732126236,0.403736671973754
"absorb",8.83,3.11,101,92,"Verb",52,6,469.161508818875,11.7385711148493,6.16468669761892,12.6433463273371,8.76040285825729,1.69835718596847,3.26864960882813,0.768761760023158
"abstain",12.95,2.38,26,19,"Verb",52,7,59.325102805997,11.236907970693,6.50543630972102,12.9138522126985,8.79767748713493,1.2312353588208,6.11112380027771,0.424628942486085
"abstinence",12.74,1.72,45,28,"Noun",73,10,43.5859368632559,11.1445078874256,6.32738576284751,12.748891720842,9.56296190619469,2.27685524257391,4.80821635946631,1.26989266571519
"abstract",11.47,1.45,111,82,"Adjective",53,8,276.535254153133,11.2481541849304,7.55643387476032,13.7366692100208,9.94022077322006,1.23779416185512,6.10715587437153,0.691527369648173
"abstraction",13.65,1.57,15,11,"Noun",55,11,100.329554941038,11.9136167746837,7.37923007814074,13.48301303541,9.24619600176811,1.42303512273255,5.48921279609203,0.561278766825879
"absurd",10.5,1.64,495,397,"Adjective",53,6,308.811761172097,14.1099421637312,5.7904050099346,14.3072718714079,10.9649435281754,2.7265820185655,7.80020028352737,0.656386282542619
"absurdity",13.21,1.25,32,31,"Noun",72,9,124.178137465906,13.8985100542998,5.20769838009333,14.1624726215891,10.6194874644279,2.13073999808806,6.57664720714092,1.47740157777429
"abundance",10.45,2.21,45,41,"Noun",68,9,206.395876507815,13.0153876150649,4.74923971969754,13.9314438156547,10.4493395090103,2.97951569205873,6.40417218208313,0.481148290480274
"abundant",12.84,2.83,29,26,"Adjective",62,8,250.661843491632,12.9702193211927,6.2951893795829,14.0055342426053,10.9150807261467,2.71475061919956,7.47416114807129,0.337065075799052
"abuse",8.61,2.71,523,409,"Noun",35,5,525.860872348073,12.9680657881631,7.85155424626734,13.6522209125384,10.7665901780128,2.24415582634262,5.3380661085248,0.634223161975243
"abusive",9.58,2.55,83,81,"Adjective",56,7,25.4656522104064,12.6631017991585,5.32263808846982,13.2914651680003,8.76209962368011,1.63452254352831,6.30389465391636,0.334346504559271
"abyss",11,3.07,90,67,"Noun",40,5,92.372177832932,13.9156642643545,6.75808919110916,14.1257122804552,11.5664032697678,3.56006278440303,7.08850222826004,0.921274517151351
"academic",9.74,2.11,238,181,"Adjective",51,8,261.930797130214,12.3306480040681,6.45190743085431,13.9187512343435,10.4176362752914,3.46448476242303,7.36280536651611,2.02066289841069
"accelerate",10.74,3.48,65,53,"Verb",61,10,103.4695356319,12.5658643557139,6.33758680980388,13.4986676912561,10.500334918499,2.91376631292245,6.59958615899086,0.666014424302401
"accent",8.6,3.26,621,447,"Noun",37,6,329.717830828074,12.9540250923488,4.14915896248129,13.3292086706455,10.9342508912086,3.39371413800435,7.19280421733856,0.70664373730318
"accept",6.74,3.03,2692,1861,"Verb",44,6,1809.12683461098,14.1012313148607,6.31732251886919,14.1533529182683,11.2752293348312,4.48485050365498,7.12557175755501,1.99375059912591
"acceptable",9.84,1.93,269,243,"Adjective",66,10,174.609622977341,11.9963745060467,6.74907582662439,12.3940609200267,7.75357835739851,1.61655015149189,3.31214933097363,0.422153366434455
"acceptance",8.56,2.21,161,140,"Noun",71,10,228.444637440018,13.2547711545005,6.22705169398541,13.5866030788891,10.0315163135529,3.18158785026819,5.00829521566629,0.976950037200397
