"Word","AoA","Concr","Freq","CD","Dom_Pos","OLD20","len","FpM","LNC","rLNC","VC","J","rVC","rJ"
"abandon",8.32,2.54,413,312,"Verb",53,7,807.561786875598,13.1075004893492,10.0183775881138,11.7671407461166,2.06321760520109,5.22413210943341,0.572921885611855
"abandonment",10.27,2.54,49,45,"Noun",84,11,74.7024255812982,13.5852112824112,10.8410525358899,10.9806311130524,1.19217073124685,6.25898626446724,0.463082966766725
"abdicate",12.6,2.08,9,9,"Verb",52,8,23.8565777779767,13.8085091361677,10.6913049135236,12.07277572155,2.36398137308147,7.61410388350487,0.964022850614646
"abhor",13.76,1.81,12,12,"Verb",42,5,56.2492278555315,13.918036847973,10.8218159054295,11.1759570240974,1.48429016488422,9.66081985831261,0.642604362270692
"abide",9.5,1.68,138,124,"Verb",34,5,187.84783263097,13.6592794122809,9.90685974062351,11.4795461893082,1.74493947313467,6.69533243775368,0.335196844695325
"ability",8.84,1.81,980,679,"Noun",45,7,891.778578235879,14.5131442734079,11.9653308814411,12.2831738591194,3.31923591896094,9.66698518395424,1.30036420150932
"abject",14,1.67,20,20,"Adjective",44,6,56.1089639371993,14.0121982022938,10.5889443117313,11.7597115635872,1.92439613803801,8.35896414518356,0.567674803501419
"able",7.79,2.38,8155,4285,"Adjective",27,4,2888.06359286769,14.3111121805594,10.2379667670817,12.0292138457298,4.68566354999282,6.9062170907855,0.999295066048733
"aboard",8.66217,3.97,1358,709,"Adverb",41,6,303.564550622973,13.5719743336656,10.2786648823593,11.7917927503586,3.02431131549403,10.8109935522079,2.17082212570696
"abode",12.06,3.92,33,31,"Noun",37,5,186.809840660048,13.6031482941584,8.88279794497781,11.7129477262497,2.98020651426593,6.86996451020241,0.564594897615265
"abolish",10.42,2.19,24,21,"Verb",55,7,175.453352987236,14.3630975158262,11.3098230066796,12.6996643543243,2.58032732485758,9.67666199803352,1.11455684410159
"abolition",13.28,2.43,10,8,"Noun",55,9,110.714328956434,14.0970267719914,11.2146973590462,11.8023306131363,3.05889946929183,7.08048009872437,0.925685019900724
"abolitionist",12.6,3.28,11,7,"Noun",75,12,44.5571941829354,13.5403241489108,10.0379917138646,10.888497531414,1.66024129398375,8.12662954628468,0.445516612442078
"abomination",11.17,2.23,58,47,"Noun",55,11,33.6809160728565,13.9994142443551,9.27991057186898,10.8314055204391,1.75747196186659,8.43809932470322,1.52270026358557
"aboriginal",14.75,3.12,9,9,"Adjective",68,10,37.6927110916067,13.853847432619,10.0847772887041,12.0943925380707,2.27922831357151,9.61973741650581,0.808332228223073
