word,slice,x,y,score
wind,1800,-3.0688345,3.4329665,13.814328610897064
wind,1840,-3.9238515,4.219538,13.814328610897064
wind,1880,-4.858488,4.816867,13.814328610897064
wind,1920,-4.627385,4.308822,13.814328610897064
wind,1960,-4.8455567,3.8256478,13.814328610897064
wind,2000,-2.5737715,3.1887891,13.814328610897064
evening,1800,-1.4061266,-1.4186054,13.816249430179596
evening,1840,-2.9528089,-2.719165,13.816249430179596
evening,1880,-3.5728438,-2.9439175,13.816249430179596
evening,1920,-3.848179,-1.8120303,13.816249430179596
evening,1960,-3.597227,-2.0661263,13.816249430179596
evening,2000,-1.8214041,-0.77972573,13.816249430179596
reddish,1800,-1.8911002,1.2945681,13.81777435541153
reddish,1840,-2.7325284,3.565308,13.81777435541153
reddish,1880,-2.5490317,4.553595,13.81777435541153
reddish,1920,-3.3158543,4.8463416,13.81777435541153
reddish,1960,-3.6335914,4.6920123,13.81777435541153
reddish,2000,-2.950114,2.2112231,13.81777435541153
thunder,1800,-3.498559,1.4733261,13.832483530044556
thunder,1840,-3.6581807,1.4293818,13.832483530044556
thunder,1880,-4.46293,1.8192313,13.832483530044556
thunder,1920,-4.5060916,1.4681147,13.832483530044556
thunder,1960,-5.37618,1.4461532,13.832483530044556
thunder,2000,-4.0133095,1.1733454,13.832483530044556
scar,1800,-2.029585,1.2831955,13.833252787590027
scar,1840,-2.704869,2.6268668,13.833252787590027
scar,1880,-2.746338,2.6618428,13.833252787590027
scar,1920,-3.1662362,3.0581276,13.833252787590027
scar,1960,-3.958783,3.2711384,13.833252787590027
scar,2000,-2.5850208,3.481127,13.833252787590027
wrist,1800,-2.4616299,1.8294342,13.837058961391447
wrist,1840,-4.1412687,1.0230784,13.837058961391447
wrist,1880,-5.444471,1.6619142,13.837058961391447
wrist,1920,-6.6298394,2.1691897,13.837058961391447
wrist,1960,-6.486319,2.1233473,13.837058961391447
wrist,2000,-4.414304,1.2879144,13.837058961391447
year,1800,2.424873,-0.4929435,13.84815913438797
year,1840,2.6697023,-0.7260512,13.84815913438797
year,1880,2.516515,-1.2501009,13.84815913438797
year,1920,2.3828106,-0.48356643,13.84815913438797
year,1960,2.120801,-1.3296719,13.84815913438797
year,2000,1.9416072,-0.94395304,13.84815913438797
death,1800,-0.89116544,-0.032813124,13.85377061367035
death,1840,-1.0135107,-0.549233,13.85377061367035
death,1880,-0.8101309,-0.11442048,13.85377061367035
death,1920,-1.1187963,-0.36193943,13.85377061367035
death,1960,-0.7143503,-0.633324,13.85377061367035
death,2000,0.5923452,-0.86205375,13.85377061367035
conclusion,1800,2.9651246,-0.4258983,13.855718076229095
conclusion,1840,3.782601,-1.6196421,13.855718076229095
conclusion,1880,3.0053053,-1.3508332,13.855718076229095
conclusion,1920,3.7393112,-0.06280412,13.855718076229095
conclusion,1960,3.9150126,-0.43548128,13.855718076229095
conclusion,2000,3.785997,0.15518741,13.855718076229095
hand,1800,-1.7798655,0.13260368,13.857236623764038
hand,1840,-2.906413,0.09641428,13.857236623764038
hand,1880,-4.023358,0.39288825,13.857236623764038
hand,1920,-4.6002884,1.3664082,13.857236623764038
hand,1960,-5.139315,1.2039378,13.857236623764038
hand,2000,-3.8139179,1.1689216,13.857236623764038
shrub,1800,-2.4299994,3.29083,13.868035137653349
shrub,1840,-2.8954806,4.6653004,13.868035137653349
shrub,1880,-1.7729493,5.0054517,13.868035137653349
shrub,1920,-2.7675428,4.59684,13.868035137653349
shrub,1960,-3.0949368,4.623205,13.868035137653349
shrub,2000,-2.4889956,3.1350207,13.868035137653349
wealthy,1800,2.3031013,-0.93162423,13.870389103889465
wealthy,1840,2.1382935,-2.3921468,13.870389103889465
wealthy,1880,2.4946587,-2.4735105,13.870389103889465
wealthy,1920,2.117422,-2.06804,13.870389103889465
wealthy,1960,2.710027,-1.2250311,13.870389103889465
wealthy,2000,2.9094176,-1.6098589,13.870389103889465
expression,1800,0.3031562,0.842598,13.87715345621109
expression,1840,0.19188374,0.820527,13.87715345621109
expression,1880,0.87525624,1.1756121,13.87715345621109
expression,1920,-0.31563243,1.7200366,13.87715345621109
expression,1960,0.00082618213,1.4610004,13.87715345621109
expression,2000,0.14787978,0.47012413,13.87715345621109
embroider,1800,-2.284134,1.4652096,13.879776120185852
embroider,1840,-4.0027857,1.1057976,13.879776120185852
embroider,1880,-2.853785,2.4936829,13.879776120185852
embroider,1920,-2.6292791,1.8404012,13.879776120185852
embroider,1960,-3.1086977,2.3818643,13.879776120185852
embroider,2000,-2.6174052,1.4500668,13.879776120185852
vote,1800,2.8159635,-2.6507428,13.889828085899351
vote,1840,5.050947,-3.0235436,13.889828085899351
vote,1880,4.0239797,-3.684585,13.889828085899351
vote,1920,3.641963,-2.7186139,13.889828085899351
vote,1960,3.8065805,-2.8774881,13.889828085899351
vote,2000,3.3168945,-1.910432,13.889828085899351
finger,1800,-3.6374292,2.1664612,13.89535140991211
finger,1840,-5.3868933,2.2432334,13.89535140991211
finger,1880,-5.949165,2.5522263,13.89535140991211
finger,1920,-6.028775,2.7166426,13.89535140991211
finger,1960,-6.8460054,2.679076,13.89535140991211
finger,2000,-4.9475484,2.4772222,13.89535140991211
wound,1800,-1.6492801,0.4896582,13.899349093437195
wound,1840,-2.8078816,1.0805094,13.899349093437195
wound,1880,-2.9767118,0.80470574,13.899349093437195
wound,1920,-3.4643693,1.4103913,13.899349093437195
wound,1960,-3.5292187,1.0892775,13.899349093437195
wound,2000,-1.8518399,1.9111315,13.899349093437195
fish,1800,-2.5060015,2.1594548,13.904385328292847
fish,1840,-2.7985039,2.8653343,13.904385328292847
fish,1880,-3.4463356,3.3864908,13.904385328292847
fish,1920,-3.3254526,3.2838414,13.904385328292847
fish,1960,-3.498941,3.134491,13.904385328292847
fish,2000,-2.0048516,2.4971836,13.904385328292847
hill,1800,-3.4051633,0.7103633,13.915525734424591
hill,1840,-3.7917933,1.5099325,13.915525734424591
hill,1880,-3.423319,1.9404246,13.915525734424591
hill,1920,-4.0805306,1.7943465,13.915525734424591
hill,1960,-3.560362,0.39116123,13.915525734424591
hill,2000,-2.683435,-0.46967137,13.915525734424591
breeze,1800,-4.022523,3.3592863,13.916708111763
breeze,1840,-5.044083,4.182417,13.916708111763
breeze,1880,-5.2476077,4.217284,13.916708111763
breeze,1920,-5.300932,3.207629,13.916708111763
breeze,1960,-6.078143,3.6045177,13.916708111763
breeze,2000,-4.3644423,2.3569374,13.916708111763
word,1800,0.06820701,-0.70512223,13.928599178791044
word,1840,-0.8856402,-1.1703353,13.928599178791044
word,1880,-0.9709341,-1.2477279,13.928599178791044
word,1920,-1.3391317,-0.14786588,13.928599178791044
word,1960,-0.8839146,-0.28535667,13.928599178791044
word,2000,-0.13168174,-0.32721978,13.928599178791044
street,1800,-2.573458,-0.5322034,13.94291216135025
street,1840,-3.598212,-1.2668829,13.94291216135025
street,1880,-3.293651,-0.6467284,13.94291216135025
street,1920,-4.4957886,0.36660042,13.94291216135025
street,1960,-4.2175765,-0.033548065,13.94291216135025
street,2000,-2.4222398,-0.39591902,13.94291216135025
decorate,1800,-1.5216311,1.6378874,14.007922828197481
decorate,1840,-2.0058954,1.9580936,14.007922828197481
decorate,1880,-1.8750873,1.4244041,14.007922828197481
decorate,1920,-1.6137989,2.00409,14.007922828197481
decorate,1960,-2.0361745,1.9275382,14.007922828197481
decorate,2000,-1.2758664,1.5875136,14.007922828197481
language,1800,2.710624,0.7956109,14.016586720943453
language,1840,3.388645,0.52424556,14.016586720943453
language,1880,3.8275201,0.58787906,14.016586720943453
language,1920,3.2879987,1.2876905,14.016586720943453
language,1960,4.1863685,1.0537432,14.016586720943453
language,2000,3.3439558,0.9337867,14.016586720943453
water,1800,-3.508826,3.590006,14.084376633167267
water,1840,-3.7840266,5.2691593,14.084376633167267
water,1880,-3.8669865,6.043595,14.084376633167267
water,1920,-3.974139,6.3527384,14.084376633167267
water,1960,-4.398498,5.714282,14.084376633167267
water,2000,-2.409652,4.2736063,14.084376633167267
