Word	OLD20	len
peacemaking	76.0	11
catfish	51.0	7
parcel	37.0	6
flaw	27.0	4
beige	39.0	5
easterly	53.0	8
whitewash	67.0	9
boob	30.0	4
impostor	53.0	8
crook	34.0	5
tiptop	55.0	6
ginger	32.0	6
glossary	61.0	8
nightclubbing	115.0	13
temp	33.0	4
cleave	36.0	6
monk	28.0	4
tell	20.0	4
whacker	37.0	7
sauerkraut	98.0	10
perk	22.0	4
anagram	54.0	7
germfree	78.0	8
emancipationist	113.0	15
preprogrammed	78.0	13
separator	55.0	9
homogeneous	86.0	11
crunchy	40.0	7
humanity	48.0	8
archaeologist	81.0	13
hogwash	58.0	7
overdramatic	94.0	12
protege	50.0	7
equivocal	75.0	9
restack	51.0	7
footboard	61.0	9
washer	30.0	6
woofer	35.0	6
eccentricity	93.0	12
onlooker	55.0	8
babysit	55.0	7
idiomatic	60.0	9
allowance	67.0	9
healthcare	87.0	10
pitch	25.0	5
racialism	55.0	9
submersion	64.0	10
lameness	44.0	8
unusable	52.0	8
potbellied	75.0	10
embroider	65.0	9
anemone	55.0	7
secondary	65.0	9
someone	58.0	7
unpublished	71.0	11
devotional	67.0	10
schemer	45.0	7
unremorseful	105.0	12
salesman	55.0	8
guile	36.0	5
emphatic	59.0	8
horrific	64.0	8
negotiation	63.0	11
brontosaurus	107.0	12
hillside	66.0	8
forth	35.0	5
impression	48.0	10
persistence	62.0	11
echocardiogram	129.0	14
wriggle	37.0	7
widowed	50.0	7
conjugate	58.0	9
inarticulate	75.0	12
humongous	70.0	9
litter	21.0	6
glop	32.0	4
feel	22.0	4
stewardess	74.0	10
busywork	64.0	8
assert	37.0	6
gal	20.0	3
enrich	55.0	6
backlash	54.0	8
battering	33.0	9
neckwear	64.0	8
capability	60.0	10
repressed	38.0	9
badmouth	60.0	8
off	26.0	3
musician	55.0	8
sate	20.0	4
underdressed	78.0	12
softheaded	72.0	10
stegosaurus	106.0	11
censorship	76.0	10
crippling	43.0	9
essence	56.0	7
spine	25.0	5
tardy	35.0	5
sensibility	66.0	11
mitosis	57.0	7
nativity	55.0	8
agency	51.0	6
conventional	64.0	12
metaphysical	71.0	12
antibiotic	76.0	10
pacifism	58.0	8
humbug	51.0	6
unstained	51.0	9
reap	26.0	4
blithering	47.0	10
grouchy	54.0	7
rich	35.0	4
reformatory	74.0	11
sacrificial	80.0	11
cab	20.0	3
combustion	59.0	10
timeout	57.0	7
ambient	54.0	7
rationalize	54.0	11
swanky	37.0	6
valid	39.0	5
innkeeper	75.0	9
embezzle	66.0	8
stapler	35.0	7
unconvinced	67.0	11
watercolorist	95.0	13
eucalyptus	94.0	10
girlfriend	88.0	10
brushfire	76.0	9
impale	37.0	6
coagulate	52.0	9
telepathic	70.0	10
imply	36.0	5
deserve	43.0	7
anxiety	60.0	7
wiener	38.0	6
wearer	32.0	6
misallocation	85.0	13
undated	38.0	7
swashbuckler	110.0	12
plank	26.0	5
bind	21.0	4
rod	20.0	3
interrupter	65.0	11
length	52.0	6
maim	34.0	4
lamebrain	72.0	9
merchantman	86.0	11
engine	39.0	6
vulnerability	93.0	13
stripper	37.0	8
coward	38.0	6
intentional	61.0	11
very	32.0	4
scoliosis	77.0	9
copyist	56.0	7
horizon	56.0	7
ambience	55.0	8
overabundance	114.0	13
eventually	70.0	10
enclosure	64.0	9
viciousness	67.0	11
crosswalk	66.0	9
eyepiece	68.0	8
testosterone	117.0	12
tolerance	58.0	9
update	44.0	6
jackrabbit	93.0	10
uprising	50.0	8
respectability	89.0	14
express	43.0	7
protagonist	81.0	11
validity	54.0	8
unprofitable	74.0	12
midfield	55.0	8
unweave	56.0	7
sociable	51.0	8
pyramidal	74.0	9
outline	38.0	7
countless	51.0	9
nonfatal	66.0	8
corresponding	78.0	13
electronics	64.0	11
provable	48.0	8
selfless	52.0	8
undulating	57.0	10
blurb	36.0	5
suppresser	56.0	10
responsive	64.0	10
conjurer	47.0	8
activist	52.0	8
carnival	54.0	8
stool	34.0	5
mortar	38.0	6
tense	29.0	5
interpretive	74.0	12
cave	20.0	4
fatherland	71.0	10
valet	38.0	5
clerical	55.0	8
swear	33.0	5
cyst	34.0	4
horizontal	80.0	10
wingtip	58.0	7
classism	48.0	8
remortgage	68.0	10
unmatched	50.0	9
sanctimonious	98.0	13
verbal	37.0	6
bronzer	39.0	7
watershed	65.0	9
climax	52.0	6
rile	20.0	4
callus	37.0	6
overreaction	72.0	12
legislator	65.0	10
forgivable	66.0	10
prefer	38.0	6
rattrap	56.0	7
sandblaster	83.0	11
critic	44.0	6
transportation	80.0	14
possible	52.0	8
clipper	35.0	7
puncture	49.0	8
captivating	66.0	11
rejoin	39.0	6
reload	39.0	6
sundown	49.0	7
inviter	42.0	7
liquidate	66.0	9
confess	40.0	7
opinion	50.0	7
doomsday	71.0	8
replay	36.0	6
cunnilingus	90.0	11
stereo	39.0	6
owe	23.0	3
maturation	56.0	10
pardon	38.0	6
interplanetary	114.0	14
blackberry	72.0	10
rummy	32.0	5
meat	20.0	4
redundant	66.0	9
carnation	48.0	9
collaborative	76.0	13
symmetry	59.0	8
sticky	36.0	6
mispronounce	94.0	12
unappetizing	92.0	12
pewter	37.0	6
interlocking	69.0	12
pump	22.0	4
funereal	55.0	8
encyclopedic	96.0	12
testicle	54.0	8
poinsettia	90.0	10
craving	34.0	7
bearable	48.0	8
furthermost	76.0	11
interracial	77.0	11
sincerity	64.0	9
outdated	48.0	8
northwest	65.0	9
shit	20.0	4
citizenry	82.0	9
greatness	54.0	9
lactation	53.0	9
ass	20.0	3
indigestion	69.0	11
wink	20.0	4
chirpy	37.0	6
pamphlet	58.0	8
monastery	57.0	9
illegible	68.0	9
medallion	63.0	9
wedgie	44.0	6
kin	20.0	3
grating	28.0	7
blindness	50.0	9
rhetorical	72.0	10
sleaze	38.0	6
plating	34.0	7
pinkie	39.0	6
canary	39.0	6
schoolmistress	109.0	14
filtration	58.0	10
intellectuality	95.0	15
chooser	36.0	7
derogatory	70.0	10
inharmonious	90.0	12
penetration	52.0	11
pheasant	53.0	8
batter	21.0	6
stomp	33.0	5
prejudice	64.0	9
humanness	58.0	9
embezzler	66.0	9
sideway	48.0	7
mutinous	55.0	8
loopy	34.0	5
refugee	47.0	7
great	34.0	5
anaerobic	68.0	9
overheated	52.0	10
transgression	75.0	13
coal	30.0	4
exalt	38.0	5
boom	25.0	4
prehistory	70.0	10
unheeded	46.0	8
cellphone	63.0	9
nowadays	63.0	8
horseshoe	69.0	9
ironworks	73.0	9
customs	54.0	7
crossroad	65.0	9
clownish	53.0	8
pseudo	59.0	6
reschedule	71.0	10
odorless	57.0	8
infidel	54.0	7
dirt	30.0	4
glider	35.0	6
sopping	27.0	7
seaward	50.0	7
grouch	38.0	6
apprehension	76.0	12
waist	34.0	5
advancement	74.0	11
breathlessness	88.0	14
capitalism	54.0	10
poet	30.0	4
lilac	39.0	5
waistcoat	73.0	9
dye	21.0	3
spice	27.0	5
entrepreneurial	139.0	15
sleepwalk	70.0	9
arms	29.0	4
wrongdoing	70.0	10
kitten	35.0	6
monetary	57.0	8
civilize	51.0	8
curb	32.0	4
ghostlike	72.0	9
handset	41.0	7
handkerchief	105.0	12
threesome	67.0	9
ingrown	58.0	7
discerning	58.0	10
unchanging	59.0	10
coherent	53.0	8
trim	30.0	4
belongings	69.0	10
forgery	39.0	7
headless	39.0	8
crackpot	57.0	8
deactivation	62.0	12
estimation	56.0	10
biorhythm	91.0	9
sedation	42.0	8
deposer	46.0	7
infiltrator	67.0	11
opposite	55.0	8
ruling	35.0	6
hallucinogen	89.0	12
hospital	62.0	8
blip	32.0	4
winter	34.0	6
broach	36.0	6
puma	35.0	4
reallocation	69.0	12
flashy	38.0	6
fissure	51.0	7
correctness	71.0	11
divide	36.0	6
defroster	65.0	9
abrasion	56.0	8
clothes	37.0	7
concept	36.0	7
standout	54.0	8
dartboard	58.0	9
genocide	63.0	8
farmhand	51.0	8
stratospheric	111.0	13
innards	55.0	7
elongate	56.0	8
pictures	49.0	8
junk	29.0	4
matriarchal	75.0	11
exist	37.0	5
toddler	37.0	7
nutcase	53.0	7
blister	38.0	7
proportionate	80.0	13
childbed	57.0	8
fundable	55.0	8
nearsightedness	120.0	15
planner	35.0	7
acrobatic	61.0	9
reunite	47.0	7
tiredness	56.0	9
suntan	41.0	6
dishonest	62.0	9
twin	31.0	4
